Epoch: [102][10/53]	Loss 0.9161 (1.0567)
Epoch: [102][20/53]	Loss 1.2665 (1.0402)
Epoch: [102][30/53]	Loss 0.7280 (1.0661)
Epoch: [102][40/53]	Loss 0.9624 (1.0650)
Epoch: [102][50/53]	Loss 0.8982 (1.0668)
Epoch: [103][0/53]	Loss 0.8204 (0.8204)
Epoch: [103][10/53]	Loss 1.0581 (1.1836)
Epoch: [103][20/53]	Loss 1.1146 (1.1247)
Epoch: [103][30/53]	Loss 1.1389 (1.0972)
Epoch: [103][40/53]	Loss 1.1158 (1.0800)
Epoch: [103][50/53]	Loss 0.7778 (1.0707)
Epoch: [104][0/53]	Loss 0.9698 (0.9698)
Epoch: [104][10/53]	Loss 1.1909 (1.1277)
Epoch: [104][20/53]	Loss 1.1598 (1.0992)
Epoch: [104][30/53]	Loss 1.3640 (1.0942)
Epoch: [104][40/53]	Loss 0.9230 (1.1076)
Epoch: [104][50/53]	Loss 1.0163 (1.1030)
Epoch: [105][0/53]	Loss 0.9947 (0.9947)
Epoch: [105][10/53]	Loss 1.0866 (1.0170)
Epoch: [105][20/53]	Loss 1.0227 (1.0888)
Epoch: [105][30/53]	Loss 1.0147 (1.0680)
Epoch: [105][40/53]	Loss 1.2538 (1.0558)
Epoch: [105][50/53]	Loss 0.9701 (1.0408)
Epoch: [106][0/53]	Loss 1.0073 (1.0073)
Epoch: [106][10/53]	Loss 1.1430 (1.0890)
Epoch: [106][20/53]	Loss 1.0684 (1.0863)
Epoch: [106][30/53]	Loss 0.9425 (1.0898)
Epoch: [106][40/53]	Loss 0.7799 (1.1071)
Epoch: [106][50/53]	Loss 1.5018 (1.0958)
Epoch: [107][0/53]	Loss 1.2413 (1.2413)
Epoch: [107][10/53]	Loss 1.1490 (1.0895)
Epoch: [107][20/53]	Loss 0.9268 (1.0290)
Epoch: [107][30/53]	Loss 0.9953 (1.0382)
Epoch: [107][40/53]	Loss 1.1644 (1.0372)
Epoch: [107][50/53]	Loss 0.9407 (1.0364)
Epoch: [108][0/53]	Loss 1.1535 (1.1535)
Epoch: [108][10/53]	Loss 0.9573 (0.9661)
Epoch: [108][20/53]	Loss 1.0172 (0.9712)
